l_s,l_2,l_1,s_2,s_1,w_s,w_2,w_1,freq,S11_dB,S21_dB
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.8,3.800 GHz,-8.976,-0.659
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.8,3.900 GHz,-9.528,-0.588
6.0,7.0,7.0,0.15,0.15,0.6,0.5,0.8,4.000 GHz,-10.101,-0.526
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,800.0 MHz,-0.8,-7.773
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,900.0 MHz,-1.01,-6.863
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.000 GHz,-1.241,-6.079
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.100 GHz,-1.492,-5.398
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.200 GHz,-1.76,-4.806
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.300 GHz,-2.044,-4.289
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.400 GHz,-2.339,-3.838
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.500 GHz,-2.644,-3.445
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.600 GHz,-2.954,-3.101
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.700 GHz,-3.267,-2.802
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.800 GHz,-3.58,-2.542
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,1.900 GHz,-3.89,-2.315
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.000 GHz,-4.193,-2.118
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.100 GHz,-4.488,-1.947
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.200 GHz,-4.773,-1.799
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.300 GHz,-5.045,-1.671
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.400 GHz,-5.304,-1.56
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.500 GHz,-5.548,-1.464
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.600 GHz,-5.776,-1.381
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.700 GHz,-5.989,-1.309
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.800 GHz,-6.186,-1.248
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,2.900 GHz,-6.366,-1.195
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,3.000 GHz,-6.53,-1.151
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,3.100 GHz,-6.679,-1.113
6.0,7.0,7.0,0.15,0.15,0.6,0.5,1.4,3.200 GHz,-6.811,-1.081
